source_property,nde_property
centerdatasetid,url
funding,funding
assayoverview,description
centerurl,author.url
description,description
principalinvestigator,author.name
centerfullname,author.affiliation
datemodified,dateUpdated
screeninglabinvestigator,author.name
datasetname,name
datasetid,identifier
datereleased,datePublished
assayname,measurementTechnique
assayformat,measurementTechnique
assaydesignmethod,keywords
physicaldetection,variableMeasured
biologicalprocess,keywords
technologies,keywords
biologicalbucket,keywords
endpointcategorization,keywords
size,distribution.contentSize
datasetgroup,isRelatedTo
toollink,isBasedOn
tool,isBasedOn
protocol,isBasedOn.url
protein,keywords
