study_id, identifier
study_title, name
study_type.label, measurementTechnique.name
study_type.id, measurementTechnique.identifier
study_description, description
inclusion_exclusion_criteria, description
lab_name, author.name
lab_address, author.affiliation
submitted_by, author.name
collected_by, author.name
grants, description
pub_ids, citation
adc_publish_date, datePublished
adc_update_date, dateModified
archive_file, distribution.conentUrl
download_url, distribution.conentUrl
file_size, distribution.contentSize
